Objective_ID,Objective_Name,Description
OB01,Suspendre la diffusion d'un contenu,"Limitation du taux de désinformation. Cela permet d'en réduire les effets, tout en évitant les problèmes de censure. Les archives de contenu en ligne sont utiles pour l'analyse du renseignement et la transparence publique, mais nécessiteront une mise en sourdine ou un étiquetage."
OB02,Ralentir la production de contenu,"Intenter de multiples actions en justice contre des créateurs et des diffuseurs de fausses informations connus, afin de les détourner de la création de fausses informations."
OB03,Acquérir de l'information,"Permettre l'identification d'un acteur, d'un processus (exemple : traitement biaisé algorythmique) ou d'un comportement à l'aide de moyen de droit."
OB04,Confisquer le profit réalisé,"Récupérer la somme gagnée par l'usage du comportement incriminé."
OB05,Réparation du préjudice,"Obtenir compensation pour les dommages subis."
OB06,Rétablir les faits,"Corriger les informations erronées et assurer la diffusion de la vérité."
OB07,Sanctionner le comportement,"Imposer des sanctions telles que des amendes ou de l'emprisonnement."
