UID,Titre,Date,Codes,Categories
UID000,"Opération Storm-1516 contre la France","01/01/2025","[""J0101"",""J0102"",""J0103"",""J0302"",""J0401"",""J0402"",""J0201"",""J0501"",""J0502""]","[""J01"",""J02"",""J03"",""J04"",""J05""]"
UID001,"Fausse vidéo d'un migrant tchadien (Storm-1516)","01/01/2025","[""J0101"",""J0102"",""J0402"",""J0401"",""J0502""]","[""J01"",""J04"",""J05""]"
UID002,"Fausse acquisition bancaire par Zelensky (Storm-1516)","01/01/2025","[""J0101"",""J0105"",""J0401"",""J0501"",""J0502""]","[""J01"",""J04"",""J05""]"
UID003,"Fausse menace terroriste contre Notre-Dame (Storm-1516)","01/01/2025","[""J0101"",""J0102"",""J0401"",""J0502"",""J0501""]","[""J01"",""J04"",""J05""]"
UID004,"Fausse allégation de liaison de Macron (Storm-1516)","28/03/2025","[""J0101"",""J0102"",""J0302"",""J0402"",""J0502""]","[""J01"",""J03"",""J04"",""J05""]"
UID005,"Fausse accusation contre Brigitte Macron (Storm-1516)","01/02/2025","[""J0101"",""J0102"",""J0302"",""J0402"",""J0502""]","[""J01"",""J03"",""J04"",""J05""]"
